"Zipcode","Borough","Households","Margin of Error Households","White","Margin of Error White","Black or African American","Margin of Error Black or African American","American Indian and Alaska Native","Margin of Error American Indian and Alaska Native","Asian","Margin of Error Asian","Hispanic or Latino origin (of any race)","Margin of Error Hispanic or Latino origin (of any race)","White alone, not Hispanic or Latino","Margin of Error White alone, not Hispanic or Latino"
"11375","Queens",76467,2449,74142,4146,94750,21182,NA,NA,84031,10481,73494,7020,73884,4335
"11377","Queens",54989,1920,56126,2672,34625,9629,49227,11622,54558,3094,52313,2769,61853,3754
"11378","Queens",68460,3487,70266,3393,73281,11736,46684,32230,70349,7671,60658,8495,71229,2772
"11379","Queens",79573,3124,79803,3440,94107,55164,NA,NA,90217,8458,72825,8640,79888,3662
"11385","Queens",64481,2378,64160,2572,75000,15934,NA,NA,70950,11569,62268,2549,65711,4424
"11411","Queens",87231,3560,61250,31291,87874,4067,NA,NA,NA,NA,85000,17221,91250,51767
"11412","Queens",75307,4328,77857,43929,74628,3982,NA,NA,82955,17891,81339,22585,NA,NA
"11413","Queens",83459,2935,90809,23785,83855,3448,71250,58310,88036,14259,83750,44052,91691,33190
"11414","Queens",72632,7301,74136,7735,105864,38875,NA,NA,28292,25942,68214,20246,73217,8609
"11415","Queens",65981,3223,66097,3541,68885,10454,NA,NA,63150,16425,62700,6058,66678,5223
"11416","Queens",61285,4430,60403,10233,62917,24284,NA,NA,60462,6050,62616,8424,58854,17355
"11417","Queens",69989,6153,80078,9366,61563,8468,NA,NA,57635,5613,84069,8825,70568,7062
"11418","Queens",67003,4936,63701,4101,63125,6119,115321,83749,71681,6723,62851,4269,69946,9010
"11419","Queens",65711,3583,63125,16269,73077,10526,40417,31193,64177,4331,65093,10668,71375,16095
"11420","Queens",66220,4233,63629,10423,61270,3526,74625,48301,73426,8235,67625,15214,55313,12016
"11421","Queens",69053,4117,65636,4639,60083,37756,101125,32466,72105,10079,72834,4852,63003,4571
"11422","Queens",86996,6064,75313,22449,90091,6470,NA,NA,80859,28581,97300,10746,51480,25804
"11423","Queens",66455,3505,70139,19067,66061,5780,105400,83283,75274,11352,64095,13856,73942,27861
"11426","Queens",83376,4710,76419,8401,60875,9040,NA,NA,98558,10060,80859,14957,76464,11253
"11427","Queens",72874,3680,64306,6624,60179,7383,NA,NA,90804,7006,66069,7302,66076,16272
"11428","Queens",71663,5837,57639,8802,76783,13310,NA,NA,67688,21154,60486,12932,55114,8717
"11429","Queens",80464,3935,81528,29156,81548,5493,52016,38080,121250,59163,55357,47757,95625,42863
"11432","Queens",52975,2054,64389,7933,50663,3669,43162,25629,55594,5130,49677,4841,69861,6723
"11433","Queens",48795,2125,47708,7570,48984,4929,43750,12341,63661,29728,47917,2540,NA,NA
"11434","Queens",60702,3513,54531,45848,59323,3491,NA,NA,83382,25589,60826,15703,NA,NA
"11435","Queens",59535,2911,60850,9879,68017,5222,NA,NA,59665,6940,51704,6769,58690,9908
"11436","Queens",69259,5228,82292,14501,67408,5335,87778,42946,78156,11428,73125,19418,55250,35936
"11691","Queens",42434,4054,44740,10414,46245,3785,NA,NA,41646,18999,29476,4961,52712,6128
"11692","Queens",45816,3821,46865,13077,46168,2711,40278,35572,NA,NA,40600,2848,56835,5399
"11693","Queens",57443,5998,59717,11042,40721,16381,NA,NA,32778,30125,34699,32554,71792,9345
"11694","Queens",77547,4620,83439,3428,43144,10560,NA,NA,40658,22515,49013,21909,86175,4940
"11697","Queens",99792,25251,95313,25344,NA,NA,NA,NA,NA,NA,NA,NA,89531,25370
