"Zipcode","Borough","Households","Margin of Error Households","White","Margin of Error White","Black or African American","Margin of Error Black or African American","American Indian and Alaska Native","Margin of Error American Indian and Alaska Native","Asian","Margin of Error Asian","Hispanic or Latino origin (of any race)","Margin of Error Hispanic or Latino origin (of any race)","White alone, not Hispanic or Latino","Margin of Error White alone, not Hispanic or Latino"
"10001","Manhattan",106509,9423,133646,16471,25164,19865,NA,NA,94297,42125,65282,19080,141725,18040
"10002","Manhattan",43362,5737,90356,8169,33878,14967,47772,32648,29408,2652,33162,7195,105988,10629
"10003","Manhattan",152863,10149,160079,12900,68358,7242,NA,NA,153761,35153,40036,13980,165889,10272
"10004","Manhattan",232543,14137,230500,43694,179925,99015,NA,NA,250000,NA,144432,122923,232755,39781
"10005","Manhattan",189886,29192,196296,27932,NA,NA,NA,NA,188152,36729,250000,NA,197222,28136
"10006","Manhattan",204574,22309,216646,41288,208245,80495,NA,NA,NA,NA,199297,30059,219600,48588
"10007","Manhattan",250000,NA,250000,NA,NA,NA,NA,NA,250000,NA,235583,93847,250000,NA
"10009","Manhattan",83344,8153,115723,15202,36268,10943,NA,NA,52906,12837,45000,7546,118796,13498
"10010","Manhattan",150288,23588,169946,32758,NA,NA,62063,48857,170657,39622,83750,34129,177465,25013
"10011","Manhattan",145934,17135,163700,15522,39842,14707,56359,2163,115078,39284,64120,39490,168163,15072
"10012","Manhattan",126890,11459,133093,12827,58139,21955,NA,NA,113816,59356,68520,33811,134755,13660
"10013","Manhattan",150675,24174,184205,31598,NA,NA,NA,NA,69256,29744,155221,119280,178936,27566
"10014","Manhattan",147267,15234,141591,12300,237979,133786,NA,NA,145216,55861,163084,31919,143661,12567
"10016","Manhattan",145864,12565,168068,15203,58475,13263,NA,NA,128083,17560,118384,34923,167883,15927
"10017","Manhattan",139964,25136,129812,27121,145814,87916,NA,NA,153576,26491,102743,87955,133534,27163
"10018","Manhattan",149118,28258,172250,36022,NA,NA,NA,NA,139167,43081,56476,36024,177143,54631
"10019","Manhattan",113335,13895,115710,10595,43190,26612,NA,NA,207854,38707,47064,10741,123210,19485
"10021","Manhattan",149432,14460,150342,13519,NA,NA,NA,NA,172083,64863,81375,47176,153296,19991
"10022","Manhattan",161236,21547,162461,23772,NA,NA,NA,NA,151058,49508,154375,115760,166004,22575
"10023","Manhattan",151468,15653,161496,17304,49949,9874,NA,NA,183681,42647,98000,32748,159247,16321
"10024","Manhattan",166994,16881,176007,11458,55510,32642,66411,30638,238097,36034,99159,43887,177131,15885
"10025","Manhattan",106916,7394,143256,16352,38470,12886,NA,NA,87159,27059,45798,13983,154447,16140
"10026","Manhattan",68831,7178,148594,32930,54071,6954,NA,NA,NA,NA,50905,14452,166306,31422
"10027","Manhattan",63125,7297,111659,19610,41273,6452,NA,NA,89038,14063,38675,11104,124221,20312
"10028","Manhattan",160244,20498,163955,23057,NA,NA,NA,NA,165911,49591,130749,13541,164545,23470
"10029","Manhattan",35640,5012,67648,5993,26734,3209,64630,38002,47593,13795,26025,3018,102743,18925
"10030","Manhattan",47765,7808,49299,21190,49090,9723,NA,NA,91515,21422,32522,8107,63511,26895
"10031","Manhattan",64807,3666,104522,12509,58681,9603,NA,NA,75865,42313,49647,5364,122922,13808
"10032","Manhattan",56752,5909,76186,12887,49366,8278,NA,NA,73800,33353,51401,6462,81101,16938
"10033","Manhattan",77209,5554,101370,7497,74077,11699,NA,NA,93167,75130,56825,6829,114341,5110
"10034","Manhattan",65109,6102,94031,7689,46613,14904,49241,35564,60833,47068,49678,5763,99737,7053
"10035","Manhattan",36989,6345,85150,23837,24648,6490,NA,NA,64578,26050,30246,8884,114432,14662
"10036","Manhattan",102287,13577,108305,8390,60476,56964,NA,NA,140123,25951,45729,7340,109329,5799
"10037","Manhattan",50177,9896,90035,14683,41880,6859,70800,44165,NA,NA,47984,21094,111458,35526
"10038","Manhattan",99641,15968,155679,42006,NA,NA,NA,NA,58262,46949,55420,14372,167383,54725
"10039","Manhattan",51904,8625,91351,22371,57009,7854,NA,NA,123947,53763,37320,10071,103256,8033
"10040","Manhattan",59115,4392,81379,10382,51784,31980,NA,NA,109350,29684,45673,7078,86464,7306
"10044","Manhattan",120759,23645,123053,30828,129784,56018,NA,NA,125417,38252,61667,50306,124714,16378
"10065","Manhattan",158276,14319,164064,14660,NA,NA,NA,NA,148750,51255,151115,56798,163288,15405
"10069","Manhattan",197680,114282,209315,75888,5019,2847,NA,NA,250000,NA,NA,NA,199858,73406
"10075","Manhattan",140736,23957,137281,35838,NA,NA,NA,NA,214508,78896,71763,71482,138315,31715
"10128","Manhattan",137253,15938,141548,7523,56563,47774,NA,NA,211154,34499,73224,13230,144670,8533
"10162","Manhattan",105391,101452,105768,82591,NA,NA,NA,NA,NA,NA,NA,NA,106016,83166
"10279","Manhattan",250000,NA,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,250000,NA
"10280","Manhattan",206150,61580,210362,53619,NA,NA,NA,NA,176796,110756,210132,184076,215759,62317
"10282","Manhattan",250000,NA,250000,NA,NA,NA,NA,NA,250000,NA,NA,NA,250000,NA
"10301","Staten Island",84855,5619,100443,7389,64329,7509,90634,37247,80786,29941,64901,18215,101702,6991
"10302","Staten Island",75588,10934,81731,22698,76014,33748,NA,NA,69286,30765,63413,6725,100972,23945
"10303","Staten Island",78578,7641,86389,17951,73068,17163,71250,33519,84605,29756,77451,14015,95200,17755
"10304","Staten Island",69479,7528,87691,21689,55429,19990,99926,94688,76420,12992,43101,19454,93348,22894
"10305","Staten Island",84764,6043,84764,7393,63512,7987,NA,NA,92000,15974,75274,45863,86360,8496
"10306","Staten Island",94758,5792,96362,6261,26365,6558,NA,NA,84549,16520,94055,22878,96436,6866
"10307","Staten Island",124738,9276,123682,11159,NA,NA,NA,NA,213304,149627,123058,5325,127214,23053
"10308","Staten Island",122647,9783,127855,10920,NA,NA,NA,NA,79173,42208,118837,26114,130265,13595
"10309","Staten Island",110123,17325,112941,19396,NA,NA,NA,NA,118621,16958,64236,37079,115991,20419
"10310","Staten Island",105523,9938,114861,12179,82846,33274,89167,22298,108500,56526,78086,19746,125488,15638
"10312","Staten Island",107414,5586,108253,6738,NA,NA,NA,NA,91506,12314,108906,25144,109396,8432
"10314","Staten Island",103436,5661,107783,8700,87520,20614,NA,NA,99315,9663,89854,18398,107946,9583
"10451","Bronx",34316,5828,24408,20488,38848,7469,NA,NA,NA,NA,28317,2933,NA,NA
"10452","Bronx",36536,3180,29798,5176,39978,5609,86281,32827,28828,15032,34952,3097,21688,7171
"10453","Bronx",34800,4035,25853,10954,32963,6050,NA,NA,40912,16763,36008,5021,NA,NA
"10454","Bronx",26400,4309,33484,10552,24197,5959,69583,61931,NA,NA,26497,5569,69167,50088
"10455","Bronx",35813,3294,34979,6260,35294,4750,61160,11783,33680,1017,36886,4818,91705,88971
"10456","Bronx",33317,2916,35547,9890,35204,3346,NA,NA,36429,20886,31795,4477,60493,10052
"10457","Bronx",41145,5310,35285,7822,44460,7316,43643,40515,NA,NA,39742,5432,33317,22353
"10458","Bronx",41550,2405,39178,9561,39655,5907,28569,14396,51757,11777,41827,2400,34440,11593
"10459","Bronx",41270,3387,29438,14059,44150,6248,NA,NA,NA,NA,40022,5091,33021,31401
"10460","Bronx",33080,3535,26434,5655,37281,5738,43911,39699,68688,48008,30596,2441,51719,27039
"10461","Bronx",64444,5712,64764,8368,54571,25249,NA,NA,99911,20982,58441,6804,69008,9738
"10462","Bronx",63431,2878,69500,8576,63044,6584,NA,NA,72697,10184,62582,3170,70819,8874
"10463","Bronx",66780,5146,82450,8392,54364,8477,NA,NA,81190,12704,49870,5219,94609,6625
"10464","Bronx",129109,27791,129419,37985,NA,NA,NA,NA,NA,NA,NA,NA,128691,26836
"10465","Bronx",85946,6630,84714,10642,93199,36128,NA,NA,106607,54681,80595,13953,88061,7163
"10466","Bronx",60892,6496,38479,12530,72259,7431,23517,7446,94056,17760,41581,7235,36134,11455
"10467","Bronx",46228,2151,44948,4216,51015,5006,NA,NA,67330,16417,42159,4793,46100,8244
"10468","Bronx",43985,3495,41380,7607,45656,7116,53571,33311,36484,10619,44284,5042,42415,18948
"10469","Bronx",76731,6438,85250,17544,84073,6249,140094,87752,76419,11069,55822,10086,92188,10776
"10470","Bronx",75750,8351,90263,8113,66863,11557,NA,NA,NA,NA,61218,18120,89097,9028
"10471","Bronx",111418,8884,107145,13272,135845,44047,NA,NA,107927,39067,87380,19208,115735,10199
"10472","Bronx",40025,3730,57500,28525,44717,7461,53684,32864,77917,39526,33230,3178,32500,21631
"10473","Bronx",51379,3396,45825,12844,52380,5195,21511,9806,116505,42129,48395,6051,129034,37539
"10474","Bronx",40795,7131,NA,NA,35938,13826,NA,NA,NA,NA,43333,13776,NA,NA
"10475","Bronx",57003,7118,37318,31727,59796,6437,128118,38193,NA,NA,53007,25333,NA,NA
"11004","Queens",112311,13301,99902,16749,NA,NA,NA,NA,122963,19135,119494,37139,99219,17434
"11101","Queens",109625,9034,136716,11536,33933,18930,38580,16329,126641,14029,59720,20313,142813,11806
"11102","Queens",103409,8388,115445,5771,30727,9026,NA,NA,116500,44966,58830,14968,120523,10777
"11103","Queens",88116,6123,89588,6849,95417,39535,148313,36627,98750,28521,82292,18296,90493,7008
"11104","Queens",83493,6890,93954,5868,70529,18044,NA,NA,72966,10162,68402,7527,99836,6501
"11105","Queens",97233,7305,100410,8126,74583,28348,NA,NA,108856,12053,77210,6345,101941,7429
"11106","Queens",81729,6210,93324,7854,41607,14751,NA,NA,84632,11875,57941,9555,104219,9604
"11109","Queens",173939,41181,173533,54119,NA,NA,NA,NA,174178,110156,133246,58370,191196,54079
"11201","Brooklyn",163310,8192,187500,13370,56557,11265,48482,44297,154194,38062,62022,27637,191423,12274
"11203","Brooklyn",68006,2758,50100,17711,69700,3884,NA,NA,61344,13691,48265,15748,45875,14394
"11204","Brooklyn",64172,4094,63050,4480,76138,23036,53000,4996,73447,7651,57639,11830,62702,5457
"11205","Brooklyn",74839,5527,120292,13195,49511,8410,NA,NA,69167,22531,68071,6306,124982,12242
"11206","Brooklyn",51507,3761,78800,8151,34208,7471,70103,58816,45789,36847,41622,4560,90735,9640
"11207","Brooklyn",52569,3338,71800,11636,50140,3150,NA,NA,68347,56314,45354,8628,98918,8815
"11208","Brooklyn",56298,3019,64601,13336,56237,4024,NA,NA,55972,9596,56491,6852,45987,26679
"11209","Brooklyn",88546,4912,92603,5527,79355,7961,128138,48356,84943,12232,81067,8166,93610,4960
"11210","Brooklyn",82904,6100,110651,13589,71442,3480,NA,NA,100938,24594,70646,15115,111866,12117
"11211","Brooklyn",94824,7298,115321,8370,64545,20330,NA,NA,181860,57951,47013,5679,120764,9426
"11212","Brooklyn",35840,4017,36053,11113,38835,5251,90471,69035,34924,4579,24640,8995,53036,32283
"11213","Brooklyn",54211,4112,78677,8378,50097,6309,NA,NA,119107,67341,37667,11102,83082,6963
"11214","Brooklyn",60152,2743,56635,2674,59162,12838,59093,28074,68977,6993,64792,5580,55304,2864
"11215","Brooklyn",173899,7449,184270,12505,106893,20411,135573,62876,188649,35748,98184,15813,187727,11479
"11216","Brooklyn",92684,5556,135481,11214,60955,6415,NA,NA,113973,16439,76310,24761,136110,10147
"11217","Brooklyn",152735,9472,192374,15144,59479,17524,NA,NA,194390,38735,50412,10702,200507,17080
"11218","Brooklyn",87759,6526,94306,7337,79685,15765,NA,NA,77000,18322,77646,16437,98993,10383
"11219","Brooklyn",51194,4766,47376,4499,66094,34710,53000,36476,62224,9146,59787,8217,46358,4814
"11220","Brooklyn",62804,2844,69793,7032,51500,31631,NA,NA,63023,2989,56054,4536,77920,6835
"11221","Brooklyn",77600,5699,112463,4025,64510,6792,58365,48589,84068,23026,60116,6083,115328,4600
"11222","Brooklyn",126250,10193,129220,9277,89517,66225,NA,NA,153065,29983,102264,22115,128028,9633
"11223","Brooklyn",61356,4590,67155,8364,27841,12443,NA,NA,78728,14278,46326,5418,67303,8308
"11224","Brooklyn",40467,3910,39256,6586,29830,7615,NA,NA,116250,85962,40176,6747,40325,7029
"11225","Brooklyn",82716,7405,116634,8416,64712,8923,NA,NA,116000,20469,68386,28272,117115,8333
"11226","Brooklyn",75947,4212,112721,5105,65485,6096,64654,15450,96691,10692,68519,5578,112847,5491
"11228","Brooklyn",83980,6446,90044,8712,21906,13214,NA,NA,78125,19381,73810,20907,91570,9106
"11229","Brooklyn",72799,5187,75843,5417,48500,4717,NA,NA,79366,7751,63188,19468,76043,5286
"11230","Brooklyn",65051,3665,65664,3719,66915,9077,NA,NA,53294,10314,67577,5180,64222,4033
"11231","Brooklyn",130396,9536,174478,15931,32326,13237,250000,NA,175465,60734,29863,10980,179986,13783
"11232","Brooklyn",79599,10768,110841,13118,90404,22633,77917,39477,52433,5915,62571,12700,120179,23398
"11233","Brooklyn",57812,5074,118679,24636,53789,4414,47837,44923,73450,54852,40739,9056,127000,25254
"11234","Brooklyn",91379,2339,102037,6883,87135,7726,145500,93329,91633,7942,76660,9469,105321,7949
"11235","Brooklyn",61320,3114,59078,3039,63654,35422,NA,NA,85711,9082,57870,11738,58664,3137
"11236","Brooklyn",79885,4157,55239,10925,84744,3288,NA,NA,80500,18690,40435,14173,56523,5123
"11237","Brooklyn",79136,6178,94937,7322,59715,27428,88011,20202,120045,23308,55231,8952,103565,6132
"11238","Brooklyn",125747,8082,166779,14378,54834,4995,NA,NA,152955,47352,63529,16041,169541,12711
"11239","Brooklyn",38670,6277,16697,2596,52805,8812,NA,NA,NA,NA,45484,10704,16065,2079
"11249","Brooklyn",113946,5991,121199,8059,51518,41897,33843,10830,161688,12584,57191,20820,123558,8513
"11354","Queens",56854,7173,76158,19045,23717,10721,NA,NA,52150,4749,62911,12788,75478,18153
"11355","Queens",52658,1913,47015,6698,75994,13801,39519,19192,52248,2108,57016,10078,44833,5810
"11356","Queens",86717,10821,94214,21933,NA,NA,NA,NA,99250,29077,83285,11916,93036,22632
"11357","Queens",95987,10237,104021,5864,NA,NA,NA,NA,80210,7456,78216,21932,104743,6642
"11358","Queens",84020,7384,87333,6891,87176,46961,93828,56230,80806,10127,77797,13734,87448,7596
"11360","Queens",100016,11564,96719,11459,88667,43445,NA,NA,114773,45234,70603,40326,100064,15138
"11361","Queens",102343,7652,106036,10959,100227,36113,56897,45490,100065,11966,96020,11016,105583,10609
"11362","Queens",113688,10011,100625,12662,NA,NA,NA,NA,138977,43796,54654,38129,104257,12161
"11363","Queens",112625,23395,119479,26439,NA,NA,NA,NA,109844,25643,78580,2056,120625,32414
"11364","Queens",100577,8715,98690,11573,106791,37508,150938,99938,91613,7962,121733,26908,95840,10463
"11365","Queens",82655,9084,89461,9562,83464,27666,NA,NA,79656,11322,82877,32673,89267,9855
"11366","Queens",114881,13629,118023,19585,92778,25527,NA,NA,113125,20054,81607,36197,118136,18946
"11367","Queens",76888,10314,93550,9204,58504,31264,NA,NA,66763,15147,59583,17224,98092,11452
"11368","Queens",69391,3913,64118,5642,54594,22740,101875,77926,57633,14495,72543,5109,46545,14261
"11369","Queens",72342,4123,64707,36333,71302,10999,100870,17896,71581,17565,70999,4532,104375,63415
"11370","Queens",71618,7395,78135,18010,100905,56282,NA,NA,82390,18810,64122,13058,71818,17307
"11372","Queens",73089,4629,76942,7212,60432,16942,NA,NA,75930,15823,62767,5873,89931,11620
"11373","Queens",67489,2731,66955,7711,NA,NA,80278,18346,65658,5882,68317,3202,69518,11941
"11374","Queens",86006,5076,77421,12906,92159,16270,NA,NA,91149,11576,87051,10649,75969,10509
"11375","Queens",103995,6602,101364,8676,90291,16457,108922,59768,114061,2948,97936,13153,99741,9991
"11377","Queens",72273,3189,72856,7236,33516,15988,53103,20034,72846,4443,66005,10005,77606,8508
"11378","Queens",90572,7678,100150,9767,101458,63371,113300,107404,67625,21811,79875,19814,102149,9864
"11379","Queens",89500,8780,95962,8902,80417,34482,NA,NA,102188,33513,72939,9229,97548,8852
"11385","Queens",85127,3395,87576,3371,83721,15808,82574,40201,84514,10405,81285,4942,88791,3367
"11411","Queens",117018,5908,115145,27887,119238,11050,NA,NA,119583,82009,100033,79759,115223,26893
"11412","Queens",96094,7302,59286,49645,97950,6751,NA,NA,85887,14840,79318,25500,85281,73109
"11413","Queens",111065,4905,81281,35027,112348,5044,NA,NA,130750,69379,93289,27011,116188,38364
"11414","Queens",95370,10885,94240,11131,NA,NA,NA,NA,181542,45400,112563,18592,93230,14475
"11415","Queens",88306,9684,93969,16466,80536,33246,70500,27377,116705,59291,78565,16851,93596,16432
"11416","Queens",84085,7551,84712,27869,81719,41709,NA,NA,88261,13951,82901,7995,81173,16922
"11417","Queens",84419,6927,83027,13920,81974,28761,142083,99631,89118,16370,84667,12827,75524,19746
"11418","Queens",79101,6657,73222,12882,70980,23168,100446,86683,92278,18099,72729,10515,78688,20404
"11419","Queens",90818,5426,88155,50809,108110,37339,125469,88588,88579,13505,81134,15298,69034,57211
"11420","Queens",97919,6095,95558,13734,102054,18823,97188,13567,92898,11726,102065,14361,95970,33561
"11421","Queens",81324,3846,93194,12862,76951,16298,NA,NA,86500,23989,79262,4945,83654,10885
"11422","Queens",101416,7592,68649,21536,105057,7708,NA,NA,54104,18913,91289,18571,67703,17288
"11423","Queens",79500,8339,73281,27162,80344,11994,NA,NA,82457,18124,53250,18101,83750,44602
"11426","Queens",112325,12130,106594,16475,160667,85855,NA,NA,129543,26667,92219,40948,98056,15867
"11427","Queens",84691,9563,96053,19979,82819,13041,NA,NA,94132,17669,74167,24572,96003,22269
"11428","Queens",89593,11827,59765,16975,96471,18961,88512,36729,105776,19573,70632,19198,59103,24605
"11429","Queens",95721,11312,105347,47615,96540,13099,214837,2516,155461,53879,77054,71114,105069,93815
"11432","Queens",72001,4489,96292,14085,71432,4434,NA,NA,76320,8537,59048,4573,101034,14729
"11433","Queens",73118,6647,69583,52008,68886,14221,66086,593,79583,10723,67782,20277,NA,NA
"11434","Queens",71728,2544,72052,32381,70823,3190,NA,NA,93782,6943,80000,37340,71898,15923
"11435","Queens",76915,3900,76667,14454,76322,7978,NA,NA,88750,17983,75890,10968,73833,17059
"11436","Queens",87685,8389,147778,61956,87614,11153,NA,NA,92736,48943,79359,9608,171071,156083
"11691","Queens",59153,7443,69095,13271,55354,8651,51146,22761,NA,NA,50011,11353,76933,17201
"11692","Queens",57687,8512,71435,22669,54307,7219,NA,NA,116818,27962,53201,13255,70093,27439
"11693","Queens",72714,12850,79704,23758,57724,29896,NA,NA,107500,45407,75871,27511,88029,29522
"11694","Queens",100190,8986,107689,9000,40327,16142,NA,NA,NA,NA,69003,19247,109752,5007
"11697","Queens",134563,26046,135982,24920,NA,NA,NA,NA,NA,NA,NA,NA,135982,24920
